label,text
Dengue,"A 104.3°F fever and a mild headache started two days ago. My knees feel a little sore, but my movement is fine. I'm also a bit tired and my appetite is not what it usually is, but the symptoms are mild enough that I can get through most of my daily tasks."
Dengue,"A 104.6°F fever has been present for three days now, along with intense pain behind my eyes. The soreness in my knees and elbows is so extreme it makes moving very difficult. Today, a faint rash began on my chest, and I have also been feeling quite nauseous, although I have not vomited."
Dengue,"A 103.7°F fever has been with me for five days, bringing with it an absolutely splitting headache and an unbearable pain behind my eyes. A profound ache has settled over my entire body, I've had two nosebleeds, and I've become concerned about the small red spots that have started showing up on my legs."
Dengue,"A 103.9°F fever and a persistent headache have been affecting me for the past two days. My elbows and knees are quite sore, and I've also had a slight loss of appetite."
Dengue,"A 103.9°F fever has been ongoing for four days, and it's brought on intense pain behind my eyes. My wrist joints are also severely painful. On top of that, I've been persistently nauseous and vomited once this evening."
Dengue,"A 103.9°F fever over the last five days has left me totally confined to my bed. The pain behind my eyes is so severe that even the moonlight coming through closed curtains feels like lasers. My shoulder joints are so inflamed that I am unable to lift my arms high enough to brush my teeth. This morning, I found that my ankles are covered in purple petechiae that look like they are permanent bruises."
Dengue,"A 104.1°F fever and a skull-splitting headache hit me three days ago. My fingers and wrists are swollen and painful to move. Since yesterday, tiny crimson spots that look like spilled paint have been spreading on my neck and shoulders. Even though I'm thirsty, I can't drink water because the queasiness is constant and makes it impossible."
Dengue,"A 104.1°F fever has been consuming me for six days. My head feels like it's about to explode, and the pain behind my eyes is unbearable. On top of the incredible soreness in my muscles, I had a nosebleed this morning, and now small red spots are starting to show up on my chest."
Dengue,"A 104.2°F fever has been going for about 48 hours, and it feels like there is a constant hammering inside my skull. Both my fingers and my knees make a painful clicking sound whenever I bend them. I also noticed this morning while showering that faint pink dots have appeared across my chest."
Dengue,"A 104.2°F fever has been with me for five days, along with a severe headache that never stops. My muscles ache all over, there's a great deal of pain behind my eyes, and I've been so nauseous that I have vomited several times."
Dengue,"A 104.5°F fever came on suddenly three days ago. It brought a splitting headache and aches all over my body, especially in my muscles. I get a sharp pain behind my eyes when I move them. I have also been feeling quite nauseous and had one minor nosebleed."
Dengue,"A 104.5°F fever has been with me for three days now. Along with a noticeable headache, my elbows and knees are quite sore. I'm also feeling a little nauseous with not much of an appetite. The fatigue is really pronounced, to the point where it's difficult to focus on anything."
