label,text
Dengue,"Akala ko po pagod lang sa trabaho, pero bigla na lang po akong nilagnat ng mataas. Ngayon po, masakit na ang ulo ko at ang mga kasukasuan. May mga pulang pantal na rin po sa braso."
Dengue,"Akala ko po trangkaso lang nung una, pero iba po yung sakit ng ulo ko, parang binibiyak. Tatlong araw na rin po akong nilalagnat at masakit ang mga buto. Pati po yung likod ng mga mata ko, kumikirot nang husto."
Dengue,"Akala ko po trangkaso lang nung una. Kasi lagnat at sakit ng katawan lang. Pero nung pangatlong araw, lumabas na yung mga pantal sa binti ko at sobrang sakit na ng mga kasu-kasuan ko. Hindi na rin ako makakain nang maayos kasi nasusuka ako."
Dengue,"Akala ko po trangkaso lang, pero iba po itong sakit ng katawan, parang binugbog ako. Tatlong araw na po akong may lagnat na 39°C. Masakit din po ang ulo ko at ang mga kasukasuan, at parang may pressure sa likod ng mga mata ko."
Dengue,"Akala ko po trangkaso lang, pero iba po itong sakit ng katawan, parang binugbog ako. Tatlong araw na po akong may lagnat na 39°C. Masakit din po ang ulo ko at ang mga kasukasuan. Medyo nawawalan din po ako ng panlasa."
Dengue,"Masakit ang likod ng mga mata ko. Bukod pa rito, may lumalabas na pantal sa katawan ko. Mayroon din akong lagnat na 39°C, at masakit ang ulo at buong katawan ko."
Dengue,"Ang bigat ng ulo ko tapos kumikirot sa sentido, tas nilalagnat ako three days na, umaabot 39.5°C. Pag gumagalaw mata ko, ang sakit sa loob. Nangangalay buong katawan at masakit joints ko. Kaunti lang yung mga pantal sa hita ko. Kaya pa naman kahapon, pero ngayon hindi na, parang tumitindi."
Dengue,"Ang bigat ng ulo ko tapos nanginginig sa lagnat, 39.0°C, at masakit likod ng mata pag tumitingin sa maliwanag. Sumasakit joints at muscles, parang pagod na pagod. May mga butlig sa braso. Nagpa-check up na ako kasi takot kami. Kagabi nagsimula, at ngayon hindi humuhupa kahit pahinga."
Dengue,"Ang bigat po ng pakiramdam sa aking mga mata at nananakit din ang aking mga buto, kasabay ng lagnat na 38.9°C. Nawalan na rin po ako ng ganang kumain kasi sa tuwing may laman ang tiyan ko, pakiramdam ko po ay masusuka ako."
Dengue,"Ang bigat-bigat po ng buong katawan ko, parang may nakadagan. Nilalagnat po ako at masakit ang mga buto-buto. Yung ulo ko po, parang laging may pressure."
Dengue,"Ang feeling ko po, trangkaso lang 'to noong una, pero sobrang sakit ng katawan ko, as in parang nabugbog ako. Three days na akong nilalagnat ng 39°C. Masakit din po 'yung ulo ko at joints. Medyo nawawalan na rin po ako ng panlasa"
Dengue,Nasusuka po ako at walang ganang kumain. May lagnat din po ako na 38.9°C at sobrang sakit ng mga kasukasuan. Parang pagod na pagod po ako palagi.
Dengue,"Ang init ng pakiramdam ko simula pa nung isang araw. Tinignan ng nanay ko, 39.5 daw ang temperature ko. Sobrang sakit ng ulo ko at parang may pumipisil sa likod ng mata ko. Ayoko kumilos kasi masakit lahat ng buto ko. Nag-aalala na kami kasi may mga kapitbahay din kaming may dengue."
Dengue,"Ang init po ng katawan ko dahil sa lagnat po, tapos masakit pa ulo, at may mga pantal din po. Yung kapitbahay po namin, ganito rin ang sintomas at na-ospital."
Dengue,"Ang lagnat ko po ay 40.1°C, at matindi po ang sakit ng katawan at ulo ko. Masakit din pong igalaw ang mga mata ko. Mayroon na rin pong maliliit na pantal sa braso at likod"
Dengue,"Ang lala po nang tinaas po ng lagnat ko, 40°C po kanina. Grabe po, parang lalabas yung mata ko sa sakit. Ang bigat din po ng buong katawan ko at sobrang sakit ng mga joints. Kanina po, pag-sipilyo ko, dumugo yung gilagid ko. Di na po ako pumasok sa work kasi sobrang hina ng pakiramdam ko."
Dengue,"Ang lala po ng tinaas ng lagnat ko, 40°C po kanina. Grabe po, parang lalabas yung mata ko sa sakit. Ang bigat din po ng buong katawan ko at sobrang sakit ng mga joints. Kanina po, pag-sipilyo ko, dumugo yung gilagid ko."
Dengue,Ang reklamo ko po ay matinding pananakit ng ulo at lagnat na 39°C. Parang may humihila sa likod ng mata ko. Masakit din ang buong likod ko at mga kasu-kasuan. Wala pa namang pagpapantal o pagdurugo pero sobrang sakit talaga ng pakiramdam ko.
Dengue,"Ang sakit po ng lalamunan ko, parang hirap lumunok. May lagnat din po ako na 39.3°C at masakit ang buong katawan. May mga butlig din po sa dibdib ko. Akala ko tonsillitis, pero iba po yung sakit ng katawan."
Dengue,"Ang taas ng lagnat ko kagabi, halos 39.5°C, tapos sobrang sakit ng likod ng mata ko. Parang hinihila lahat ng kasu-kasuan ko. May mga pulang pantal na rin sa tiyan ko ngayon. Medyo lumala pa kumpara kahapon."
Dengue,"Ang taas ng lagnat ko, 'di bumababa sa 39°C. Sobrang sakit ng ulo ko, pati likod ng mata, at ang buong katawan ko. May mga pantal-pantal na ring lumalabas sa tiyan."
Dengue,"Ang taas ng lagnat ko, umabot ng 40°C. Ang sakit ng ulo ko, at sumasakit din pati likod ng mga mata ko. Kahapon, napansin ko may mga maliliit na pulang pantal o rashes sa braso at binti ko. Wala akong ganang kumain kasi nagsusuka ako."
Dengue,"Ang taas ng temperature ko, 39.2°C since the other day. Tapos 'pag ginagalaw mata ko, ang sakit sa likod niya. May pantal na lumabas at sumasakit joints. Nasusuka ako at tatlong beses akong sumuka kahapon, lumala pa nung hapon."
Dengue,"Ang taas po ng lagnat ko, 40.2°C. Hindi na po ako makakilos sa sobrang sakit ng katawan at ulo. Yung mata ko po, parang may dumadagan. May mga pula-pula na rin sa balat ko. Nagsusuka na rin po ako ng kahit anong kainin o inumin ko."
Dengue,"Ang taas po ng sinat ko, hindi bumababa. Tapos, sobrang sakit ng mga joints ko, parang hindi ko mai-unat. Yung ulo ko rin po, parang may tumitibok sa sakit. Medyo may mga pantal na rin po akong napapansin sa braso."
Dengue,"Ang una ko pong iniisip na baka trangkaso lang nung una. Pero iba po yung sakit ng ulo ko, parang binibiyak po. Tatlong araw na rin po akong nilalagnat at masakit ang mga buto. Pati po yung likod ng mga mata ko, kumikirot nang husto."
Dengue,"Masakit po ang likod ng mga mata ko, lalo na kapag ginalaw. May lagnat din po ako na 39°C at may mga pantal na lumalabas sa binti at braso. Masakit din po ang mga kasukasuan ko na parang nabalian."
Dengue,"Ano po kaya ito, Doc? Kasi yung kapitbahay namin na-ospital, ganito rin daw ang sintomas. Mataas ang lagnat ko, 39.4°C, tapos sobrang sakit ng likod ng mata at kasukasuan. Matamlay po ako at walang ganang kumain."
Dengue,"Apat na araw na akong nilalagnat, minsan 40°C, ang sakit ng ulo at parang hihiwalay sa sakit. Masakit buong katawan at may red spots sa tiyan. Dumudugo yung ilong ko kanina. Nasusuka at walang tigil. Sumasakit mata ko kapag ginagalaw. Hindi ko kaya, ang lala na ngayon."
Dengue,Apat na araw na po itong lagnat ko. Sobrang sakit ng ulo ko at parang dinudurog yung mga buto ko sa sakit. Masakit din po sa likod ng mata. Nag-nosebleed din po ako kaninang madaling araw.
Dengue,Apat na araw na po itong lagnat ko. Sobrang sakit ng ulo ko at parang dinudurog yung mga buto ko sa sakit. Masakit din po sa likod ng mata. Nag-nosebleed din po ako kaninang madaling araw. Pinapainom na po ako ng maraming tubig ng pamilya ko pero gusto na po naming magpa-check up.
Dengue,"Ayaw pong tumigil ng pagsusuka ng anak ko. Kahit tubig lang, sinusuka niya. May lagnat din siyang 39.5°C at sabi niya masakit daw ang tiyan niya. May mga pantal na rin po sa likod niya."
Dengue,"Bagsak na bagsak po ang katawan ko at wala akong ganang kumain. Kada sinusubukan kong kumain, nasusuka lang po ako. Mataas din po ang lagnat ko at kumikirot po ang sentido ko."
Dengue,"Bagsak na bagsak po talaga ang katawan ko. Nagsimula lang sa sinat, pero ngayon po ay 40°C na. Parang dinudurog ang mga buto ko at ayaw kong kumain kasi nasusuka ako."
Dengue,"Bigla na lang po akong nagka-nosebleed kaninang madaling araw. Nang kinapa ko po ang leeg ko, sobrang init ko po. Tinignan po namin ang temperature ko at 39.8°C po. Sobrang sakit din po ng likod ko."
Dengue,Bigla na lang po akong nanghina kahapon tapos nilagnat agad ng 40°C. Akala ko trangkaso lang pero sobrang sakit ng kasukasuan ko. May mga lumalabas na rin pong maliliit na pulang butlig sa braso at binti ko.
Dengue,"Bigla na lang po akong nilagnat nang mataas kagabi. Ngayon, masakit na ang buong katawan ko, parang nabugbog. Ang sakit din ng tiyan ko, parang humihilab. Wala pa naman pong pantal pero ang kumikirot yung sa may joints ko."
Dengue,"Bigla na lang po akong nilagnat ng mataas, 39.8°C. Tapos, sobrang sakit ng mga buto ko, lalo na sa balakang at tuhod. Kumikirot din ang ulo ko at masakit ang mata ko sa bandang likod. Parang bumabaliktad ang sikmura ko pero hindi naman ako makasuka."
Dengue,"Bigla na lang pong lumabas itong mga butlig sa balat ko. May kasama po itong lagnat na 38.9°C at matinding pananakit ng mga binti at likod. Yung mata ko po, mainit at mabigat ang pakiramdam."
Dengue,"Biglang nilagnat ako kagabi mga 39.1°C, nahihilo ako at nasusuka, pinakamatindi yung kirot sa likod ng mata pag gumagalaw at ang bigat ng ulo, sumasakit din joints at muscles, wala akong ubo sipon pero ngayon mas mataas ang lagnat kaysa kahapon"
Dengue,"Biglang nilagnat ako kagabi, mga 39.2°C, tapos sobrang sakit ng likod ng mata ko pag gumagalaw. Ang bigat ng ulo at parang binugbog katawan ko, lalo joints at muscles. May lumalabas na red spots sa legs. Medyo nahihilo at nasusuka ako. Ngayon mas sumakit at hindi bumababa lagnat."
Dengue,"Biglang sumakit 'yung ulo at likod ng mata ko kagabi. Ngayon 39.6°C na temperature ko, tapos masakit buong katawan at joints ko. May mga butlig at pantal na ring lumabas sa braso. Tatlong beses akong sumuka kahapon, at parang lumala pa pakiramdam ko ngayong hapon kaya di na ako pumasok sa trabaho."
